author,date,description,source,title,url
"Lauren Kent,Pierre Bairin,Uliana Pavlova",2023-07-14T19:07:57Z,"Russian President Vladimir Putin has proposed to Wagner Group fighters that a senior mercenary named Andrey Troshev now command the private military group, according to comments the Russian leader made to the Kommersant newspaper.",CNN,"Russia's Wagner: Andrey Troshev, what we know about the man Putin proposed as new Wagner commander | CNN",https://edition.cnn.com/2023/07/14/europe/russia-andrey-troshev-wagner-intl/index.html
Matias Grez,2023-07-14T15:26:07Z,"Age is clearly just a number to Novak Djokovic, who is now just one match away from securing a record-equaling eighth Wimbledon title after the Serb beat Italy’s Jannik Sinner in straight sets, winning 6-3 6-4 7-6 in Friday’s first men’s semifinal.",CNN,Novak Djokovic reaches ninth Wimbledon final after brushing aside Jannik Sinner; will face Carlos Alcaraz | CNN,https://edition.cnn.com/2023/07/14/tennis/novak-djokovic-jannik-sinner-wimbledon-spt-intl/index.html
Luke McGee,2023-07-14T15:28:38Z,"This week’s NATO summit in the Lithuanian capital of Vilnius provided a valuable reminder that during a war, the battle for communications is as important as anything happening on the ground.",CNN,Analysis: NATO's crucial summit in Vilnius nearly came off the rails and gave Russia a PR victory | CNN,https://edition.cnn.com/2023/07/14/europe/biden-ukraine-comments-nato-analysis-intl/index.html
"By Hafsa Khalil, Ed Upright, <a href=""/profiles/maureen-chowdhury"">Maureen Chowdhury</a> and <a href=""/profiles/matt-meyer"">Matt Meyer</a>, CNN",2023-07-02T08:41:16Z,"Russia attacked Kyiv overnight using Iranian-made drones for the first time in 12 days, according to Ukrainian officials.",CNN,"July 2, 2023 Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-02-23/index.html
"By Hafsa Khalil, <a href=""/profiles/laura-smith-spark"">Laura Smith-Spark</a>, <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a> and <a href=""/profiles/tori-powell"">Tori B. Powell</a>, CNN",2023-07-01T07:36:53Z,"Russia killed at least 30 soldiers and has eliminated a Ukrainian foothold along the Dnipro River in southern Ukraine, a Russian-appointed leader said. Follow here for live updates. ",CNN,"July 1, 2023 Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-01-23/index.html
Jamiel Lynch,2023-06-30T23:21:08Z,"Former WWE wrestler and NFL player Darren Drozdov has died at age 54, according to the WWE.",CNN,Darren Drozdov: Former WWE wrestler and NFL player dies at 54 | CNN,https://edition.cnn.com/2023/06/30/sport/darren-drozdov-death/index.html
Reuters,2023-07-01T16:40:17Z,Dutch King Willem-Alexander on Saturday apologized for the Netherlands’ historic involvement in slavery and the effects that it still has today.,CNN,Dutch king apologizes for Netherlands' historic role in slavery | CNN,https://edition.cnn.com/2023/07/01/europe/dutch-king-apologizes-netherlands-slavery-intl/index.html
Allen Kim,2020-07-01T07:07:32Z,He hasn’t picked up a professional baseball glove in 22 years but he’s still picking up a paycheck – and a hefty one at that.,CNN,Bobby Bonilla Day: He hasn't played in MLB for more than two decades. One team is paying him $1.2 million a year until 2035 | CNN,https://edition.cnn.com/2020/07/01/us/bobby-bonilla-day-mets-mlb-spt-trnd/index.html
Homero De la Fuente,2023-07-03T05:34:27Z,New Zealand’s Shane van Gisbergen became the first driver in over half a century to win in his NASCAR Cup Series debut after a triumph Sunday at the inaugural Chicago Street Race.,CNN,Shane van Gisbergen wins inaugural Chicago Street Race in NASCAR Cup Series debut | CNN,https://edition.cnn.com/2023/07/03/sport/shane-van-gisbergen-nascar/index.html
"Sana Noor Haq,Joshua Berlinger,Tara John,Barry Neild,Xiaofei Xu",2023-06-30T16:46:03Z,"France has been rocked by a wave of protests after a 17-year-old youth was shot by police near Paris on Tuesday, sparking a ban on demonstrations in some cities, travel warnings and reigniting a debate on over-policing in marginalized communities.",CNN,Protests sweeping France: What you need to know | CNN,https://edition.cnn.com/2023/06/30/europe/nanterre-france-police-protests-explainer-intl/index.html
Ivana Kottasová,2023-07-03T04:03:31Z,Čeněk Růžička looked euphoric as he swung the pickaxe against the wall. He had spent decades campaigning for the pig farm to be torn down. It was finally happening.,CNN,"A pig farm on the site of a Nazi 'Roma camp' is finally demolished. After decades of campaigning, Czech victims of Roma Holocaust are getting their memorial | CNN",https://edition.cnn.com/2023/07/03/europe/roma-concentration-camp-czech-intl-cmd/index.html
Jessie Yeung,2023-07-03T08:09:21Z,"All eyes will be on Vladimir Putin this week, with the Russian president expected to make his first appearance on the world stage since the Wagner insurrection threatened his steel grip on power.",CNN,Putin expected to meet Xi and Modi at SCO Summit following Wagner insurrection | CNN,https://edition.cnn.com/2023/07/03/europe/sco-summit-putin-china-india-support-intl-hnk/index.html
"Rob Picheta,Joseph Ataman",2023-07-03T15:49:54Z,"Hundreds of people marched on Monday in support of a French mayor whose house was attacked by a burning car, as the country entered a second week gripped by violent protests and riots.",CNN,France protests: Hundreds march with mayor whose house was attacked by burning car | CNN,https://edition.cnn.com/2023/07/03/europe/france-mayor-protests-march-intl/index.html
"Erin Burnett,Yon Pomrenze,Mick Krever,Victoria Butenko",2023-07-03T10:00:47Z,"Vladimir Putin’s response to the armed Wagner rebellion was “weak” and the Russian President is losing control of his own people, Ukrainian President Volodymyr Zelensky told CNN in an exclusive interview.",CNN,Exclusive: Zelensky calls Putin 'weak' and says Russian President's power is 'crumbling' | CNN,https://edition.cnn.com/2023/07/03/europe/zelensky-ukraine-putin-erin-burnett-interview-intl-cmd/index.html
"By <a href=""/profiles/tara-subramaniam"">Tara Subramaniam</a>, Jack Guy, <a href=""/profiles/laura-smith-spark"">Laura Smith-Spark</a>, <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, Mike Hayes, <a href=""/profiles/maureen-chowdhury"">Maureen Chowdhury</a> and <a href=""/profiles/elise-hammond"">Elise Hammond</a>, CNN",2023-07-03T04:16:06Z,"President Volodymyr Zelensky acknowledged difficulties Monday on the battlefield — but said Ukraine is ""making progress."" ",CNN,"July 3, 2023 Russia-Ukraine news",https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-03-23/index.html
Caroll Alvarado,2023-07-03T16:07:50Z,"The girlfriend of former NFL quarterback Ryan Mallett, who died last week in an apparent drowning off a Florida beach, said she tried hard to save him.",CNN,Ryan Mallett death: Girlfriend of former NFL quarterback pens emotional Facebook post | CNN,https://edition.cnn.com/2023/07/03/football/ryan-mallet-death-girlfriend-facebook-tribute/index.html
Teele Rebane,2023-07-05T06:11:56Z,Sixteen children allegedly abused in the Philippines have been rescued after Australian police found sexually explicit material on the phone of a man arrested in Sydney.,CNN,16 abused children freed in Philippines after man's arrest in Sydney | CNN,https://edition.cnn.com/2023/07/05/australia/australia-philippines-children-rescued-intl-hnk/index.html
Laura Paddison,2023-07-04T15:53:14Z,"Climate activists have targeted 10 golf courses around Spain, plugging up holes to protest the amount of water used to maintain these courses as the country is gripped by a severe drought.",CNN,Climate activists block golf course holes with seedlings and cement to protest water use | CNN,https://edition.cnn.com/2023/07/04/europe/extinction-rebellion-golf-course-spain-climate-intl/index.html
"By <a href=""/profiles/tara-subramaniam"">Tara Subramaniam</a>, Sana Noor Haq, <a href=""/profiles/ivana-kottasova"">Ivana Kottasová</a> and <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, CNN",2023-07-04T04:00:21Z,"Russia's defense ministry said it intercepted five Ukrainian drones near Moscow Tuesday in what it called a ""terrorist"" attack. There were no casualties or damage, it said. ",CNN,July 4 2023 news on Russia's war in Ukraine,https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-07-04-23/index.html
Hilary Whiteman,2023-07-04T07:25:12Z,"Scientists in Australia have diagnosed the world’s first case of chronic traumatic encephalopathy, or CTE, in a professional female athlete, with implications for millions of girls and women who play contact sport.",CNN,"CTE: Heather Anderson, first professional female athlete to be diagnosed with degenerative brain disease | CNN",https://edition.cnn.com/2023/07/04/australia/australia-cte-female-athlete-health-scn-intl-hnk/index.html
Kevin Dotson,2023-07-04T00:15:27Z,"Hall of Fame trainer Bob Baffert will miss the Kentucky Derby next year after Churchill Downs Incorporated (CDI), the organizer of the horse race and owner of the famed racetrack, extended his suspension through the end of 2024.",CNN,Churchill Downs Incorporated extends horse trainer Bob Baffert's suspension through 2024 | CNN,https://edition.cnn.com/2023/07/03/sport/bob-baffert-churchill-downs-suspension-spt-intl/index.html
Ivana Kottasová,2023-07-04T04:00:54Z,"The minefields in southern Ukraine are so dense, the troops trying to liberate the area can only advance “tree by tree,” one soldier involved in Kyiv’s counteroffensive in the south told CNN. In all his years of service, he said, he’s never seen this many mines.",CNN,Ukraine's counteroffensive: Why progress has been slow | CNN,https://edition.cnn.com/2023/07/04/europe/ukraine-counteroffensive-slow-progress-intl/index.html
Reuters,2023-07-05T13:46:27Z,"Cell phones, tablets and smartwatches will be largely banned from classrooms in the Netherlands from January 1, 2024, the Dutch government said on Tuesday, in a bid to limit distractions during lessons.",CNN,Cell phones to be banned from Dutch school classrooms next year | CNN,https://edition.cnn.com/2023/07/05/europe/netherlands-school-phone-ban-scli-intl-wellness/index.html
"Anna Chernova,Darya Tarasova,Lauren Kent",2023-07-04T18:18:47Z,"Elena Milashina, a prominent Russian journalist who uncovered the horrific crackdown on gay men in Chechnya, was “severely beaten” alongside a lawyer in an attack in the southern Russian republic, according to her employer Novaya Gazeta.",CNN,Chechnya: Russian journalist Elena Milashina and lawyer 'severely beaten' in attack | CNN,https://edition.cnn.com/2023/07/04/europe/russia-chechnya-journalist-elena-milashina-attacked-intl/index.html
